,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
349,Mount Carmel College of Nursing,Ohio,OH,Private,4 Year,5000.0,13907,18907,13907,18907,8,Ohio,56600,99700,78.0,0
350,Mount Marty College,South Dakota,SD,Private,4 Year,7986.0,27276,35262,27276,35262,8,South-Dakota,41400,76500,67.0,5
351,Mount Mercy University,Iowa,IA,Private,4 Year,9534.0,31798,41332,31798,41332,22,Iowa,47200,79000,51.0,4
352,Mount St. Mary's University,Maryland,MD,Private,4 Year,13075.0,41350,54425,41350,54425,13,Maryland,50200,94100,50.0,11
353,Muhlenberg College,Pennsylvania,PA,Private,4 Year,11765.0,52595,64360,52595,64360,17,Pennsylvania,53400,101900,43.0,20
354,Multnomah University,Oregon,OR,Private,4 Year,8870.0,25900,34770,25900,34770,22,Oregon,40500,76400,82.0,0
355,Murray State University,Kentucky,KY,Public,4 Year,9190.0,9084,18274,24540,33730,12,Kentucky,44800,79900,56.0,9
357,Nebraska Wesleyan University,Nebraska,NE,Private,4 Year,9622.0,34202,43824,34202,43824,12,Nebraska,45700,80500,60.0,8
358,New College of Florida,Florida,FL,Public,4 Year,9264.0,6919,16183,29944,39208,20,Florida,47300,86500,40.0,4
359,New England College,New Hampshire,NH,Private,4 Year,14222.0,37914,52136,37914,52136,6,New-Hampshire,45700,86400,43.0,24
360,New England Institute of Technology,Rhode Island,RI,Private,4 Year,13065.0,29940,43005,29940,43005,7,Rhode-Island,51700,93200,44.0,14
361,New Jersey City University,New Jersey,NJ,Public,4 Year,12738.0,12051,24789,21573,34311,24,New-Jersey,48700,87600,55.0,9
362,New Jersey Institute of Technology,New Jersey,NJ,Public,4 Year,13600.0,17338,30938,32750,46350,3,New-Jersey,64600,121300,51.0,75
363,New Mexico Highlands University,New Mexico,NM,Public,4 Year,7872.0,6150,14022,10302,18174,6,New-Mexico,40400,73800,63.0,4
364,New Mexico Institute of Mining and Technology,New Mexico,NM,Public,4 Year,8510.0,7770,16280,22268,30778,1,New-Mexico,64700,120400,61.0,91
366,New York University,New York,NY,Private,4 Year,18156.0,51828,69984,51828,69984,13,New-York,63100,117700,42.0,18
367,Newberry College,South Carolina,SC,Private,4 Year,10666.0,26424,37090,26424,37090,19,South-Carolina,41200,74700,54.0,14
368,Newman University,Kansas,KS,Private,4 Year,8326.0,30724,39050,30724,39050,6,Kansas,48000,88500,66.0,11
369,Nicholls State University,Louisiana,LA,Public,4 Year,9938.0,7982,17920,9075,19013,14,Louisiana,44500,84300,53.0,5
370,North Carolina Wesleyan College,North Carolina,NC,Private,4 Year,10800.0,31000,41800,31000,41800,21,North-Carolina,45300,78800,62.0,8
371,North Central College,Illinois,IL,Private,4 Year,11019.0,38880,49899,38880,49899,19,Illinois,50400,92900,45.0,9
372,Northeastern State University,Oklahoma,OK,Public,4 Year,7638.0,6650,14288,14720,22358,16,Oklahoma,44500,77600,58.0,7
373,Northeastern University,Massachusetts,MA,Private,4 Year,16880.0,51387,68267,51387,68267,16,Massachusetts,62500,109700,46.0,40
374,Northern Arizona University,Arizona,AZ,Public,4 Year,10282.0,11564,21846,25828,36110,4,Arizona,49600,90000,56.0,12
375,Northern Illinois University,Illinois,IL,Public,4 Year,10880.0,12262,23142,12262,23142,14,Illinois,53000,95500,47.0,20
376,Northern Kentucky University,Kentucky,KY,Public,4 Year,10022.0,10032,20054,19680,29702,6,Kentucky,49000,87400,46.0,12
377,Northern State University,South Dakota,SD,Public,4 Year,8029.0,8498,16527,11471,19500,7,South-Dakota,42300,77700,56.0,7
378,Northwest Christian University,Oregon,OR,Private,4 Year,9300.0,30050,39350,30050,39350,17,Oregon,45200,81100,62.0,5
379,Northwest Missouri State University,Missouri,MO,Public,4 Year,10016.0,9805,19821,16457,26473,13,Missouri,46900,85100,50.0,26
380,Northwest Nazarene University,Idaho,ID,Private,4 Year,7400.0,29300,36700,29300,36700,6,Idaho,46200,80600,68.0,7
381,Northwest University,Washington,WA,Private,4 Year,8630.0,31540,40170,31540,40170,16,Washington,50900,89000,51.0,3
382,Northwestern College,Iowa,IA,Private,4 Year,9200.0,31100,40300,31100,40300,18,Iowa,44800,82400,42.0,11
383,Northwestern College,Illinois,IL,For Profit,2 Year,12402.0,18485,30887,18485,30887,18,Iowa,44800,82400,42.0,11
384,Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780.0,7036,11816,14153,18933,18,Oklahoma,42200,76800,55.0,11
385,Northwestern University,Illinois,IL,Private,4 Year,16626.0,54567,71193,54567,71193,2,Illinois,63400,115400,46.0,20
386,Norwich University,Vermont,VT,Private,4 Year,13840.0,40016,53856,40016,53856,3,Vermont,57000,99100,51.0,20
387,Notre Dame of Maryland University,Maryland,MD,Private,4 Year,11850.0,36900,48750,36900,48750,23,Maryland,48300,86400,58.0,3
388,Nova Southeastern University,Florida,FL,Private,4 Year,13250.0,30900,44150,30900,44150,14,Florida,50200,89800,60.0,9
389,Oakland University,Michigan,MI,Public,4 Year,10100.0,12606,22706,24230,34330,9,Michigan,51300,93300,49.0,19
390,Oakwood University,Alabama,AL,Private,4 Year,9312.0,16720,26032,16720,26032,15,Alabama,43500,78800,71.0,16
391,Oberlin College,Ohio,OH,Private,4 Year,16338.0,55054,71392,55054,71392,13,Ohio,53100,96800,47.0,21
392,Oglethorpe University,Georgia,GA,Private,4 Year,13200.0,38100,51300,38100,51300,6,Georgia,52400,91400,50.0,12
393,Ohio Northern University,Ohio,OH,Private,4 Year,11650.0,32260,43910,32260,43910,6,Ohio,54400,103900,49.0,22
394,Ohio Valley University,West Virginia,WV,Private,4 Year,7980.0,21900,29880,21900,29880,16,West-Virginia,38800,71100,81.0,1
395,Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430.0,45760,58190,45760,58190,9,Ohio,51300,99200,46.0,21
396,Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350.0,28258,35608,28258,35608,19,Oklahoma,43900,76600,62.0,8
397,Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190.0,22760,30950,22760,30950,7,Oklahoma,49700,87900,57.0,41
398,Oklahoma City University,Oklahoma,OK,Private,4 Year,8896.0,31026,39922,31026,39922,7,Oklahoma,47700,87900,58.0,9
399,Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,4695.0,8194,12889,9133,13828,20,Oklahoma,42300,74400,54.0,10
400,Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,8644.0,26956,35600,26956,35600,15,Oklahoma,43300,78700,58.0,1
401,Old Dominion University,Virginia,VA,Public,4 Year,11620.0,10872,22492,29772,41392,14,Virginia,50200,89900,52.0,19
402,Oral Roberts University,Oklahoma,OK,Private,4 Year,9450.0,27728,37178,27728,37178,9,Oklahoma,45900,85100,59.0,8
404,Oregon Institute of Technology,Oregon,OR,Public,4 Year,9058.0,9987,19045,28056,37114,2,Oregon,61200,106800,60.0,27
405,Oregon State University,Oregon,OR,Public,4 Year,12855.0,11166,24021,30141,42996,5,Oregon,56200,104800,53.0,34
406,Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880.0,26790,34670,26790,34670,8,Arkansas,44100,80200,58.0,18
407,Pacific Lutheran University,Washington,WA,Private,4 Year,10790.0,42066,52856,42066,52856,10,Washington,54500,98100,53.0,20
409,Pacific University,Oregon,OR,Private,4 Year,12528.0,44298,56826,44298,56826,8,Oregon,50200,94000,66.0,8
410,Park University,Missouri,MO,Private,4 Year,8200.0,12650,20850,12650,20850,14,Missouri,48500,85000,56.0,7
411,Peru State College,Nebraska,NE,Public,4 Year,8010.0,7452,15462,7482,15492,17,Nebraska,42600,74800,50.0,6
412,Pfeiffer University,North Carolina,NC,Private,4 Year,11226.0,30234,41460,30234,41460,23,North-Carolina,44200,78000,51.0,4
414,Pittsburg State University,Kansas,KS,Public,4 Year,7778.0,7298,15076,18642,26420,8,Kansas,47100,84900,51.0,8
415,Plymouth State University,New Hampshire,NH,Public,4 Year,11100.0,14099,25199,22769,33869,12,New-Hampshire,47000,82200,50.0,6
416,Pomona College,California,CA,Private,4 Year,16716.0,52780,69496,52780,69496,13,California,63800,117200,47.0,37
417,Portland State University,Oregon,OR,Public,4 Year,10428.0,9105,19533,27060,37488,12,Oregon,50800,90500,48.0,16
418,Prairie View A&M University,Texas,TX,Public,4 Year,8925.0,10533,19458,24843,33768,17,Texas,57800,99400,65.0,22
419,Presbyterian College,South Carolina,SC,Private,4 Year,10480.0,38660,49140,38660,49140,6,South-Carolina,48800,89900,57.0,14
420,Prescott College,Arizona,AZ,Private,4 Year,7700.0,31485,39185,31485,39185,7,Arizona,41200,73500,69.0,0
421,Princeton University,New Jersey,NJ,Private,4 Year,16290.0,49330,65620,49330,65620,2,New-Jersey,75200,139400,48.0,48
422,Principia College,Illinois,IL,Private,4 Year,11610.0,29470,41080,29470,41080,17,Illinois,52600,94900,56.0,19
423,Providence College,Rhode Island,RI,Private,4 Year,14700.0,50390,65090,50390,65090,3,Rhode-Island,58900,106900,44.0,11
424,Queens University of Charlotte,North Carolina,NC,Private,4 Year,10860.0,34684,45544,34684,45544,9,North-Carolina,49400,86600,48.0,9
425,Quinnipiac University,Connecticut,CT,Private,4 Year,14540.0,47960,62500,47960,62500,10,Connecticut,55900,97700,46.0,10
426,Radford University,Virginia,VA,Public,4 Year,9406.0,11210,20616,22845,32251,22,Virginia,48900,82900,53.0,10
427,Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,12450.0,14374,26824,23715,36165,15,New-Jersey,51600,95200,41.0,12
428,Randolph College,Virginia,VA,Private,4 Year,13580.0,39585,53165,39585,53165,19,Virginia,47000,86100,50.0,23
429,Reed College,Oregon,OR,Private,4 Year,14210.0,56340,70550,56340,70550,3,Oregon,56100,104900,44.0,26
430,Regis University,Colorado,CO,Private,4 Year,11560.0,36810,48370,36810,48370,8,Colorado,55500,94800,58.0,13
431,Rensselaer Polytechnic Institute,New York,NY,Private,4 Year,15260.0,53880,69140,53880,69140,6,New-York,71300,134100,49.0,78
432,Rhode Island College,Rhode Island,RI,Public,4 Year,11829.0,8929,20758,21692,33521,9,Rhode-Island,47200,83500,52.0,5
